titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
All About Toby,English,English,2019,16 min,"Short, Drama","24-year-old lifelong best friends, Sarah and Addie meet at their regular coffee shop. Addie reveals that she just got a job at record label Stomping Records and events begin to unravel.",Pelicula,https://filmzie.com/content/all-about-toby-2019
Structural Amendment,Spanish,"English, Portuguese",2016,60 min,Drama,"Ica, the year 1937, Lucio, a piano teacher, suffers from alcoholism. Widowed Beatriz, one of her students, feels neglected yet attracted emotionally by Lucio. Raquel, daughter of Don Erasmo, a bankrupt Nazi, plans to assassinate both Lucio and her father.",Pelicula,https://filmzie.com/content/structural-amendment-2016
Gemphora the Giantess,English,English,2022,20 min,"Animation, Short","Gemphora, the Giantess, guards the seas with her time-traveling, superhero magical powers. Her Father's necklace fights epidemics. After a storm, she inherited its magic.",Pelicula,https://filmzie.com/content/gemphora-the-giantess-2022
Black Coffin,Spanish,English,2022,75 min,Drama,"Bastian, famous rocker and leader of the Tucksons, is blocked from developing his new album due to the detoxification process he is undergoing. An unexpected accident happens while his manager pressures him to finish the album.",Pelicula,https://filmzie.com/content/black-coffin-2022
Leap Weekend,Spanish,English (embedded),2020,19 min,"Drama, Short","David spends his vacation with Pamela, his cousin. In the middle of a heatwave, Javier comes to break with their boredom. Later on, David develops a desire towards Javier, which leads him to use his objects. As the heatwave intensifies, so does his desire.",Pelicula,https://filmzie.com/content/leap-weekend-2020
A Vampire's Tale,English,English,2009,90 min,"Horror, Western","A dysfunctional family relocates to a remote farm, only to face terror from a vengeful vampire cowboy lurking in the shadows. Brace yourself for a chilling tale of vengeance.",Pelicula,https://filmzie.com/content/a-vampires-tale-2009
The Light Touch,English,English,2021,99 min,"European Production, Romance","Sexy puckish pickpocket Becky, a Bugs Bunny of a girl, is teasing a wallet out of a purse on a crowded Athens metro when she notices Miranda, falls in love, and the chase is on. Oops, Becky picks the pocket of a policeman on vacation, her Elmer Fudd, and he's obsessed with catching her.",Pelicula,https://filmzie.com/content/the-light-touch-2021
Sex Club 101,English,None,2019,47 min,Documentary,"An honest exploration of sex clubs, from etiquette standards to daily life. This documentary breaks taboos to search for the truth.",Pelicula,https://filmzie.com/content/sex-club-101-2019
Let's Not Meet in the Woods,English,English,2020,98 min,Thriller,"Three sisters and their Aunt escape a stalker and a pandemic in the back country. But in the woods, they face a dangerous presence alone.",Pelicula,https://filmzie.com/content/lets-not-meet-in-the-woods-2020
Cinereous Money,Spanish,"English, Portuguese",2022,60 min,Drama,"A father of a family, Hector, gets involved in the crime of money laundering. Stressed by the illegal businesses and the constant questioning by his wife, Roxana, will make Hector decides to take a break from the mafia, not knowing it is impossible.",Pelicula,https://filmzie.com/content/cinereous-money-2022
What's The Matter With Gerald,English,None,2016,99 min,"Comedy, Drama, Fantasy",A hypochondriac irks his partner by embracing the advice of an eccentric healer.,Pelicula,https://filmzie.com/content/whats-the-matter-with-gerald-2016
The Boys of St.Vincent,English,None,1992,92 min,Drama,"Based on true events, this film sheds light on the harrowing experiences at St. Vincent's Orphanage, exposing abuse and the ensuing cover-up. Watch this powerful story unfold in the face of resistance.",Pelicula,https://filmzie.com/content/the-boys-of-stvincent
Maybe Someday,English,None,2022,91 min,"Comedy, Drama","In the midst of separating from her wife, Jay attempts to move across the country to start her life over again as she grapples with the inevitable cycles of love, loss, and everything in between.",Pelicula,https://filmzie.com/content/maybe-someday-2022
Hate Crime,English,English,2005,103 min,"Crime, Drama, Mystery","Robbie and Trey face intolerance from their neighbor Chris. When Trey disappears, Robbie becomes the prime suspect. Secrets unravel as they seek justice.",Pelicula,https://filmzie.com/content/hate-crime
Carried Away,English,English,2009,100 min,Drama,"Ed Franklin, a young man pursuing his dreams in Hollywood, returns home to Fort Worth, Texas at Christmas time to find his family in turmoil. His parents' marriage is crumbling and his relationship with his two brothers is rocky at best. The discovery that his beloved Granny has been placed in a nursing home after a stroke left her mentally disabled pushes Ed over the edge. He decides to come to his unhappy Granny's rescue, abducting her from the home against his family's orders. Ed's father Rex and brothers, Steve and Davy, set out after Ed and Granny, and a cross-country pursuit begins.",Pelicula,https://filmzie.com/content/carried-away-2009
Murder Manual,English,English,2020,91 min,"Horror, Thriller","Chilling chapters from our horror book: a girl's nightmarish journey to reality, a deadly Palm Springs getaway, a perilous rideshare, and a captive circus rescue.",Pelicula,https://filmzie.com/content/murder-manual-2020
Black Magic Live: Stripped,English,None,2021,81 min,Documentary,This film explores the challenges the Black Magic Live show and its core group of dancers have experienced during their 4 years on the Las Vegas Strip.,Pelicula,https://filmzie.com/content/black-magic-live-stripped-2021
Necrologies,French,English,2018,75 min,"Fantasy, Horror, European Production","Caught trespassing in a cemetery, Ludovic's encounter with the old grave keeper reveals a book filled with eerie and captivating tales from the tombs.",Pelicula,https://filmzie.com/content/necrologies1
Upside Down Revolution,English,None,2017,17 min,"Drama, Short, European Production","One day, a man, condemned to crawl on the ground of a vast desert, finds himself face to face with a peculiar vertical mast, planted in the dirt. He approaches it and tries to cling to it. Rising slowly, he understands that this mast is perhaps his only way to escape the overwhelming gravity of his universe.",Pelicula,https://filmzie.com/content/upside-down-revolution-2017
Assassins,Italian,Subtitles,2020,0 min,Action,"Nick Holland is a senior high school student, he spends his life in peace, until he meets an ambiguous boy, nick begins to understand who he really is, he understands that he is not a boy like everyone else, he is the unique in being able to save humanity from evil.",Serie,https://filmzie.com/content/assassins-2020
Senn,English,English,2013,79 min,"Adventure, Mystery, Sci-Fi",Charles Dickens meets Arthur C. Clarke--A lowly factory worker is delivered from a world of misery and discovers his destiny via an ancient object on the other side of the stars.,Pelicula,https://filmzie.com/content/senn-2013
Chained,German,English,2018,38 min,"Short, Drama","Shot up ruins are what's left of a once flourishing nation and now serve as hideouts for local guerrilla groups fighting the invasive army of the neighboring state. In this chaos, Ari fights for survival. In the ruins of an old skyscraper, her friend Cato and herself wait for the right time to flee into the safety of the neighboring state.",Pelicula,https://filmzie.com/content/chained-2018-0
The History of Magic: Ensueño,English,English,2017,5 min,"Animation, Comedy, Short","In the isolated border town of West Texas, teenager Ester Bolaños navigates life with curiosity and a wild imagination. 'Ensueño' explores how her vivid fantasies infiltrate even the simplest of daily routines.",Pelicula,https://filmzie.com/content/the-history-of-magic-ensueno-2017
Girl Lost,English,English,2016,95 min,Drama,"A teenage girl, whose mother is at the end of her career as a sex escort, has to find a way to make money to support them both in Los Angeles.",Pelicula,https://filmzie.com/content/girl-lost-2016
Missing Kenley,English,Subtitles,2021,0 min,Documentary,"On the 20th of September 1992, two weeks into his first semester at Acadia University, Kenley Matheson disappeared without a trace. There were no witnesses. There were no suspects.  There were no leads. No body was ever found. And he has not been seen since. ",Serie,https://filmzie.com/content/missing-kenley-2021
Alphee of the Stars,French,English (embedded),2012,82 min,Documentary,Follow Alphée's remarkable journey as she defies medical expectations. Witness her father's love and determination to integrate her into a regular classroom. A moving and revealing portrait that challenges our assumptions.,Pelicula,https://filmzie.com/content/alphee-of-the-stars
Dark Souls,Norwegian,English (embedded),2010,95 min,"Horror, Thriller, European Production","A girl attacked, her body decaying. More victims suffer the same fate. Her father investigates the horrifying truth behind the attacks.",Pelicula,https://filmzie.com/content/dark-souls
Conquering Northern China,English,Subtitles,2017,0 min,Documentary,Follow vloggers SerpentZA and Laowhy86 on a punishing adventure to China's northernmost point in their most daring expedition yet.,Serie,https://filmzie.com/content/conquering-northern-china-2017
