titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Cinereous Money,Spanish,"English, Portuguese",2022,60,Drama,"A father of a family, Hector, gets involved in the crime of money laundering. Stressed by the illegal businesses and the constant questioning by his wife, Roxana, will make Hector decides to take a break from the mafia, not knowing it is impossible.",Pelicula,https://filmzie.com/content/cinereous-money-2022
Love Unveiled,Spanish,English (embedded),2023,97,"Drama, Thriller, Mystery, Comedy","A compilation of short films: Advent, Right Now, Leap Weekend, Unicorn, Into the Storm. Explore the enigmatic journeys of self-discovery, love, and identity in this compilation. From cliffside mysteries to poetic encounters, desire under a scorching sun, daring escapes, and unspoken feelings, these films unravel the complexities of life.",Pelicula,https://filmzie.com/content/love-unveiled-2023
Once Is Enough,English,English,2020,74,Documentary,"Inspired by his mother's obesity-related death, a ginger comedian and vegan son-of-a-pig-farmer runs 100 miles in a grueling Colorado ultra trail marathon, defying fate and finding humor in the process.",Pelicula,https://filmzie.com/content/once-is-enough-2020
Hail Mary!,English,English,2018,89,Comedy,"In a desperate move, a football franchise buys a school of Japanese Sumo Wrestlers to protect their star quarterback, O'Rourke, after a 32-game losing streak. Gargantuan Sumos transformed into linemen.",Pelicula,https://filmzie.com/content/hail-mary-2018
A male of a woman,Spanish,"English, Portuguese",2006,103,Comedy,A determined wife takes on her macho husband's behavior. Watch online for free as she challenges stereotypes and transforms their relationship.,Pelicula,https://filmzie.com/content/a-male-of-a-woman-2006
Laughology,English,No contiene subtitulos,2009,66,Documentary,"Unveiling laughter's secrets! LAUGHOLOGY, a groundbreaking documentary, challenges Plato, the Bible, and your school's ban on laughter. Join this hilarious odyssey into the essence of laughter and its adversaries.",Pelicula,https://filmzie.com/content/laughology-2010
Dark Souls,Norwegian,English (embedded),2010,95,"Horror, Thriller, European Production","A girl attacked, her body decaying. More victims suffer the same fate. Her father investigates the horrifying truth behind the attacks.",Pelicula,https://filmzie.com/content/dark-souls
Beyond Boobs,English,No contiene subtitulos,2018,52,"Biography, Documentary",A hilarious and at times provocative film about a middle-aged American single-mother living in Switzerland and her quest to find out if she'll be invisible when she's no longer the woman with the biggest breasts in the room.,Pelicula,https://filmzie.com/content/beyond-boobs-2018
Central Texas Barbecue,English,English,2014,13,"Documentary, Short, Biography","Barbecue in Central Texas isn't just about cooking meat—it's a lifestyle, a path to salvation, and a guaranteed conversation starter at any dinner table.",Pelicula,https://filmzie.com/content/central-texas-barbecue-2014
The Call,German,English (embedded),2020,22,"Crime, Horror, Mystery","In different times, Seo-Yeon and Young-Sook's lives intertwine through a transformative phone call. Experience their irrevocable connection in this captivating story.",Pelicula,https://filmzie.com/content/the-call-2020
The Lady and the Highwayman,English,No contiene subtitulos,1988,89,"Adventure, Drama, History, European Production","A thrilling story of love, treachery, rivalry, crime, and political scheming unfolds in the 1660s, amid the Restoration of King Charles II to the English throne.",Pelicula,https://filmzie.com/content/the-lady-and-the-highwayman-1988
Water Is Not Enough,English,English,2015,78,"Comedy, Drama","Water Is Not Enough (W.I.N.E.) explores the meaning of conditional family love and the all-out drive to become successful at any cost. Camille is an aspiring vocalist well on her way to fame and fortune. However, a devastating tragedy serves as the catalyst to reveal a family secret she has been hiding. This film shows that denial and living an un-truth can ruin the best of families and careers.",Pelicula,https://filmzie.com/content/water-is-not-enough-2015
Big Noise Dispatches 06,English,No contiene subtitulos,2008,82,"Documentary, Short",Jeremy Scahill's exclusive report reveals the courageous figure standing against Blackwater's impunity for the Nisur Square massacre.,Pelicula,https://filmzie.com/content/big-noise-dispatches-06-2008
Race War,English,English,2015,13,"Action, Adventure, Short","In a post-apocalyptic world ravaged by a racially-driven war, two warriors battle for survival while haunted by their haunting memories of the past.",Pelicula,https://filmzie.com/content/race-war-2015
I'm the Vet,English,No contiene subtitulos,2022,23,"Documentary, Biography, Short","A story about my sister, Dr. Lindsay Eisenhour, one of the lead veterinarians at Neel Veterinary Hospital in Oklahoma City, battles the reality of her profession and of pet care.",Pelicula,https://filmzie.com/content/im-the-vet-2022
What Love Looks Like,English,No contiene subtitulos,2020,88,"Comedy, Drama, Romance",Five interwoven love stories explore the ups and downs of finding love.,Pelicula,https://filmzie.com/content/what-love-looks-like-2020-0
The Soft Rumor of Tumultuous Seas,Spanish,English (embedded),2008,18,"Short, Romance","Lola embraces the thrill of life, cherishing fleeting moments and chasing opportunities. Amidst nights filled with music, alcohol, and nostalgic melodies, she seeks love and connection.",Pelicula,https://filmzie.com/content/the-soft-rumor-of-tumultuous-seas
Keeping Secrets,English,No contiene subtitulos,2023,129,"Crime, Horror, Thriller","Determined to prove herself, a police officer must go undercover at a seedy lounge to catch a serial killer.",Pelicula,https://filmzie.com/content/keeping-secrets-2023
Dazedly,English,No contiene subtitulos,2020,20,"Short, Drama","Growing up loveless with a daring temperament and obsession with the idea of punishment, Holly sets off on a journey to find her birth mother. The unpleasant encounter leads her to meet Mel, a mature tortured soul whose presence reassures her. But the bliss unexpectedly turns into desolation when Mel refuses to face an unimaginable and uncomfortable possibility.",Pelicula,https://filmzie.com/content/dazedly-2020
Best of Seven,English,No contiene subtitulos,2016,94,Comedy,"A quiet man who suffer from multiple personality disorder is talked into stop taking his medications by his parents, who are sure he is fully healed. He agrees to stop taking them for a week, and that unleashes all his other personalities to destroy his life.",Pelicula,https://filmzie.com/content/best-of-seven-2016
Loose Lips: Her Last Interview,English,No contiene subtitulos,2013,92,Documentary,"In an unforgettable interview, Linda Lovelace reveals the untold stories of Deep Throat and her life in the porn industry. Watch the uncensored documentary for free!",Pelicula,https://filmzie.com/content/loose-lips-her-last-interview-2013
Season of the Witch,English,English,2022,67,Documentary,This documentary filmed in Southwest Virginia and East Tennessee investigates both the history of witchcraft as well as its resurgence in modern society.,Pelicula,https://filmzie.com/content/season-of-the-witch-2022
Ushba,English,No contiene subtitulos,2017,20,"Documentary, Sport","Samuel Anthamatten, Markus Eder, and Leo Slemett venture to remote Svaneti, Georgia. Their mission: climb Ushba, ski its first descent. Epic heli-skiing warms them up for the challenge.",Pelicula,https://filmzie.com/content/ushba-2017
Harmony Falls,English,No contiene subtitulos,2022,78,"Horror, Thriller","Investigator Ian McDermott along with lawmen Bud O'Brien and Charlie Redtail investigate the murderous-mutilations of hiker-campers, loggers, and townsfolk of the tiny Mt. Saint Helens township of Harmony Falls.",Pelicula,https://filmzie.com/content/harmony-falls-2022
Survive,English,No contiene subtitulos,2015,96,"Action, Adventure, Drama","Six contestants in a survival reality show are dropped in the middle of the Mojave desert and, accompanied by a single production cameraman, must follow a series of cryptic clues to a $100,000 prize.  All wear helmet-cams that record their activities 24/7.  Very quickly, a series of mysterious events turn the contest into a life-and-death struggle.  This is the record of what their cameras saw...",Pelicula,https://filmzie.com/content/survive-2015
Kepler's Dream,English,English,2016,87,"Adventure, Drama, Family","Eleven-year-old Ella (Isabella Blake-Thomas) is a city girl forced to spend the summer on the New Mexico ranch of her reclusive grandmother, Violet Von Stern (Holland Taylor), while Ella's mom (Kelly Lynch) undergoes chemotherapy in another state. As she tries to cope with her grandmother's strict rules and snooty friends, Ella longs for her mother and begs her estranged father for rescue.",Pelicula,https://filmzie.com/content/keplers-dream-2016
Embodiment,English,English,2016,27,"Short, Drama, Fantasy","Insensitive legal guardian, disabled teen yearning for intimacy, and compassionate escort collide. Sterling, disabled and rejected by peers, desires Ashli, his guardian's escort.",Pelicula,https://filmzie.com/content/embodiment
Leda,English,No contiene subtitulos,2021,75,Thriller,"In a poetic reimagining of Greek myth, a young woman battles haunting memories, divine visions, trauma, rape, and pregnancy.",Pelicula,https://filmzie.com/content/leda-2021
